CID	Type	N	Vg_Vp	Vg_Vp_SE	Pval	LRT	logL	logL0	Vg	Ve	Vp	Vg_SE	Ve_SE	Vp_SE
C279	single_GRM	7053	0.053988	0.054523	0.16048	0.985	-3553.861	-3554.353	0.054367	0.952661	1.007028	0.054941	0.056737	0.016967
C297	single_GRM	6831	0.078247	0.054844	0.067834	2.226	-3438.607	-3439.72	0.078734	0.927486	1.00622	0.05525	0.056876	0.01723
C302	single_GRM	6286	0.054745	0.060562	0.18522	0.802	-3158.382	-3158.783	0.054966	0.949078	1.004045	0.060846	0.062604	0.01792
C310	single_GRM	6328	0.246876	0.061472	2.0981e-05	16.781	-3203.301	-3211.691	0.250562	0.764369	1.01493	0.062938	0.062691	0.018114
C313	single_GRM	6170	0.122537	0.061616	0.020566	4.171	-3130.256	-3132.341	0.124333	0.890324	1.014657	0.062671	0.063764	0.018292
C327	single_GRM	3423	0.203763	0.104774	0.031084	3.479	-1715.05	-1716.789	0.20416	0.797789	1.001949	0.10543	0.105445	0.024279
C330	single_GRM	6955	0.26186	0.057064	1.1264e-06	22.366	-3451.365	-3462.548	0.260723	0.734933	0.995655	0.057409	0.057004	0.016962
C331	single_GRM	6925	0.183874	0.055233	0.00015644	12.992	-3463.38	-3469.875	0.184139	0.817301	1.00144	0.055616	0.056103	0.01706
C338	single_GRM	7013	0.136694	0.05447	0.0037402	7.154	-3527.37	-3530.947	0.137556	0.868755	1.006311	0.054992	0.055958	0.017021
C339	single_GRM	6696	0.14461	0.053875	0.00076224	10.049	-3291.829	-3296.853	0.142279	0.841596	0.983875	0.053204	0.054165	0.017033
C340	single_GRM	7055	0.366441	0.0573	4.9222e-11	41.852	-3472.294	-3493.22	0.363177	0.627915	0.991092	0.057905	0.056419	0.016828
C342	single_GRM	7036	0.144046	0.055407	0.003982	7.042	-3522.584	-3526.105	0.144301	0.857469	1.00177	0.055701	0.056537	0.01692
C344	single_GRM	7050	0.283937	0.056112	8.1384e-08	27.431	-3526.577	-3540.293	0.285164	0.719158	1.004322	0.057047	0.056434	0.017005
C355	single_GRM	7055	0.151273	0.055327	0.0026732	7.758	-3483.096	-3486.976	0.149471	0.838613	0.988084	0.054879	0.055629	0.016668
C356	single_GRM	7053	0.140574	0.055194	0.0036807	7.183	-3541	-3544.592	0.14121	0.863317	1.004527	0.055631	0.056511	0.016945
C358	single_GRM	7031	0.185447	0.056094	0.00038122	11.331	-3527.798	-3533.463	0.186339	0.818469	1.004808	0.056678	0.05706	0.016992
C361	single_GRM	6261	0.004257	0.059828	0.47249	0.005	-3077.196	-3077.199	0.00418	0.977733	0.981913	0.058747	0.061099	0.017552
C362	single_GRM	3022	1e-06	0.107547	0.5	0	-1519.196	-1519.196	1e-06	1.002709	1.00271	0.107839	0.110029	0.025809
C363	single_GRM	7051	1e-06	0.051677	0.5	0	-3505.387	-3505.387	1e-06	0.993171	0.993172	0.051325	0.053757	0.016729
C376	single_GRM	7055	0.25195	0.054606	4.7754e-08	28.463	-3501.497	-3515.728	0.250834	0.744738	0.995572	0.054907	0.054692	0.016831
C381	single_GRM	5718	0.098914	0.063518	0.049546	2.72	-2840.074	-2841.434	0.098191	0.894497	0.992687	0.063145	0.064662	0.018579
C391	single_GRM	7055	0.246007	0.056381	4.5163e-06	19.706	-3525.481	-3535.334	0.246548	0.755653	1.002202	0.057035	0.056789	0.016945
C397	single_GRM	7055	0.276093	0.055091	2.8187e-09	33.956	-3466.969	-3483.947	0.272383	0.714178	0.986561	0.054992	0.054516	0.016691
C399	single_GRM	502	0.143343	0.362802	0.35025	0.148	-260.15	-260.224	0.147278	0.880177	1.027455	0.373372	0.373969	0.065008
C405	single_GRM	1509	1e-06	0.179786	0.5	0	-761.104	-761.104	1e-06	1.004203	1.004204	0.180542	0.183218	0.036578
C407	single_GRM	7055	0.218268	0.055837	1.5908e-05	17.306	-3497.365	-3506.018	0.216855	0.776673	0.993528	0.055894	0.055954	0.016785
C409	single_GRM	7055	0.26816	0.056706	7.3017e-07	23.2	-3479.108	-3490.708	0.265406	0.724324	0.98973	0.05674	0.056261	0.016746
C415	single_GRM	7055	0.162851	0.054021	0.00055484	10.635	-3504.071	-3509.389	0.161906	0.83229	0.994197	0.053948	0.054653	0.016774
C418	single_GRM	5686	0.465912	0.06737	3.5455e-13	51.519	-2797.042	-2822.801	0.462689	0.530394	0.993084	0.068733	0.066189	0.018828
C424	single_GRM	7055	1e-06	0.054382	0.5	0	-3581.217	-3581.216	1e-06	1.014044	1.014045	0.055146	0.057391	0.017077
C432	single_GRM	7042	0.098865	0.04945	0.0078816	5.829	-3503.642	-3506.556	0.098353	0.89647	0.994823	0.049287	0.050891	0.01678
C439	single_GRM	7055	0.048595	0.053347	0.17409	0.88	-3553.89	-3554.33	0.04892	0.957779	1.006699	0.053734	0.055645	0.016958
C444	single_GRM	7055	0.279879	0.057009	3.6984e-07	24.509	-3507.59	-3519.844	0.279348	0.718754	0.998102	0.057576	0.056961	0.016894
C445	single_GRM	7003	0.493432	0.056489	0	89.913	-3401.143	-3446.1	0.485426	0.498349	0.983774	0.057518	0.054829	0.016853
C452	single_GRM	7055	0.001932	0.054046	0.4862	0.001	-3581.966	-3581.967	0.00196	1.012479	1.014439	0.054827	0.057203	0.017083
C460	single_GRM	7055	0.19437	0.054928	8.8495e-05	14.061	-3443.92	-3450.951	0.190101	0.787934	0.978035	0.054051	0.054389	0.016513
C461	single_GRM	7052	0.162312	0.055382	0.0013062	9.06	-3544.003	-3548.534	0.163275	0.842655	1.00593	0.055955	0.056607	0.016977
C466	single_GRM	7055	0.023555	0.054836	0.33868	0.173	-3543.087	-3543.173	0.023636	0.979795	1.003431	0.055033	0.05712	0.0169
C477	single_GRM	6866	1e-06	0.05579	0.5	0	-3436.985	-3436.984	1e-06	0.99972	0.999721	0.055774	0.057925	0.017066
C480	single_GRM	7055	0.290296	0.054424	2.3311e-10	38.814	-3487.401	-3506.808	0.288184	0.70454	0.992724	0.054733	0.054146	0.016801
C482	single_GRM	7053	0.079517	0.055777	0.081197	1.952	-3503.345	-3504.321	0.078958	0.914013	0.992971	0.055453	0.056905	0.016735
C498	single_GRM	7055	0.296065	0.055273	3.0531e-10	38.287	-3542.738	-3561.882	0.298613	0.709992	1.008605	0.056497	0.055799	0.017075
C501	single_GRM	6789	0.12387	0.057431	0.0158	4.62	-3377.525	-3379.835	0.12325	0.871744	0.994994	0.057288	0.058345	0.017101
C503	single_GRM	7053	0.402729	0.056097	5.9952e-15	59.531	-3481.813	-3511.578	0.400916	0.594584	0.9955	0.057175	0.055377	0.016923
C504	single_GRM	6801	1e-06	0.056092	0.5	0	-3392.891	-3392.891	1e-06	0.996499	0.9965	0.055895	0.058108	0.017093
C512	single_GRM	7055	0.006721	0.055123	0.45397	0.013	-3500.297	-3500.304	0.006662	0.984578	0.99124	0.054642	0.056862	0.016693
C519	single_GRM	7055	1e-06	0.055468	0.5	0	-3586.292	-3586.291	1e-06	1.014849	1.01485	0.056292	0.058244	0.017092
C533	single_GRM	7055	0.187359	0.056379	0.000409	11.2	-3513.72	-3519.32	0.186877	0.810551	0.997428	0.056553	0.056896	0.01684
C535	single_GRM	7055	0.199874	0.056376	0.00017883	12.741	-3525.366	-3531.737	0.200076	0.800932	1.001008	0.056793	0.057011	0.016905
C536	single_GRM	5449	1e-06	0.067316	0.5	0	-2724.902	-2724.901	1e-06	0.998053	0.998054	0.067185	0.069243	0.019127
C537	single_GRM	7050	0.25242	0.055327	4.653e-07	24.067	-3533.75	-3545.783	0.25379	0.751636	1.005426	0.056179	0.055926	0.017006
C561	single_GRM	7055	0.180291	0.052591	1.9538e-05	16.916	-3488.656	-3497.113	0.178527	0.811687	0.990214	0.052362	0.052964	0.01671
C563	single_GRM	7055	0.245246	0.05667	6.3168e-06	19.065	-3514.383	-3523.915	0.245008	0.754024	0.999032	0.057141	0.056889	0.016892
C564	single_GRM	7055	0.274658	0.056173	8.9586e-08	27.246	-3462.869	-3476.492	0.27064	0.714732	0.985372	0.05599	0.055475	0.016674
C565	single_GRM	7055	0.282498	0.055401	3.5911e-08	29.015	-3512.589	-3527.097	0.282384	0.717214	0.999598	0.056058	0.055496	0.016916
C566	single_GRM	7054	0.215917	0.053141	5.5078e-07	23.742	-3504.952	-3516.823	0.215001	0.780755	0.995756	0.053319	0.053537	0.016818
C572	single_GRM	7053	0.185179	0.0551	0.00022446	12.317	-3506.436	-3512.594	0.184366	0.81124	0.995606	0.055166	0.055593	0.016809
C796	single_GRM	7024	0.148821	0.057004	0.0049398	6.656	-3488.981	-3492.31	0.147933	0.846098	0.994031	0.056874	0.057574	0.016807
C798	single_GRM	665	0.256426	0.355579	0.24379	0.482	-326.994	-327.235	0.250507	0.726409	0.976916	0.348478	0.347242	0.053714
C799	single_GRM	7052	0.291955	0.056947	7.281e-08	27.647	-3518.207	-3532.03	0.292512	0.709395	1.001908	0.057789	0.057054	0.016969
C800	single_GRM	7055	0.086243	0.055458	0.061054	2.39	-3482.089	-3483.284	0.085105	0.901701	0.986806	0.054804	0.056195	0.01663
C803	single_GRM	7053	0.37848	0.056208	3.7215e-13	51.424	-3477.963	-3503.675	0.375994	0.617437	0.99343	0.057019	0.055463	0.016872
C806	single_GRM	7052	0.457911	0.056529	0	75.328	-3459.523	-3497.187	0.454128	0.53761	0.991738	0.057759	0.0554	0.016903
C811	single_GRM	7055	0.229417	0.055222	4.211e-06	19.84	-3501.808	-3511.728	0.228284	0.766776	0.99506	0.055407	0.055386	0.016815
C815	single_GRM	7053	0.349544	0.055833	2.6297e-11	43.078	-3498.828	-3520.367	0.348924	0.6493	0.998224	0.056751	0.055497	0.016934
C821	single_GRM	7053	0.222637	0.055169	7.4544e-06	18.749	-3484.213	-3493.588	0.220459	0.769759	0.990219	0.05506	0.055109	0.016732
C823	single_GRM	7052	0.113271	0.055424	0.020405	4.184	-3536.451	-3538.543	0.113604	0.889336	1.00294	0.055715	0.056853	0.016912
C825	single_GRM	6513	0.162436	0.058479	0.0013003	9.068	-3169.662	-3174.196	0.158281	0.81614	0.974421	0.057229	0.057857	0.017112
C826	single_GRM	3789	0.130796	0.088076	0.052653	2.623	-1898.517	-1899.829	0.130939	0.870152	1.001091	0.08835	0.089591	0.023023
C827	single_GRM	5944	0.232424	0.06415	6.3516e-05	14.685	-2955.844	-2963.187	0.231608	0.764882	0.99649	0.064415	0.064319	0.018342
C828	single_GRM	3769	0.226178	0.093069	0.0065403	6.158	-1810.316	-1813.395	0.217497	0.74412	0.961617	0.089974	0.089993	0.022204
C848	single_GRM	2271	1e-06	0.135447	0.5	0	-1129.427	-1129.427	1e-06	0.991063	0.991064	0.134237	0.136193	0.029434
C849	single_GRM	6949	0.149969	0.054633	0.0013268	9.032	-3439.401	-3443.916	0.148547	0.841973	0.99052	0.054323	0.055148	0.016835
C878	single_GRM	7051	0.085134	0.05615	0.069216	2.195	-3520.758	-3521.855	0.084984	0.913253	0.998237	0.056128	0.057513	0.016828
C880	single_GRM	7020	0.040544	0.053834	0.22396	0.576	-3458.426	-3458.714	0.039918	0.944633	0.984551	0.053024	0.054956	0.016625
C882	single_GRM	838	0.040806	0.273409	0.43849	0.024	-428.365	-428.377	0.041466	0.974708	1.016174	0.277988	0.278419	0.049808
C888	single_GRM	7055	0.163392	0.056732	0.0019628	8.318	-3560.236	-3564.395	0.165053	0.845113	1.010166	0.05756	0.058134	0.017047
C891	single_GRM	7053	0.041562	0.053108	0.21018	0.649	-3559.64	-3559.965	0.041918	0.966652	1.00857	0.053586	0.055585	0.01699
C892	single_GRM	7055	0.059744	0.052728	0.11385	1.455	-3538.309	-3539.036	0.059885	0.94248	1.002365	0.052894	0.054715	0.016886
C893	single_GRM	7055	0.035803	0.054877	0.26178	0.407	-3531.297	-3531.5	0.035809	0.964358	1.000166	0.054904	0.056857	0.016846
C913	single_GRM	6532	0.068429	0.057232	0.10947	1.511	-3253.158	-3253.914	0.068113	0.927277	0.995391	0.057022	0.058695	0.017429
C917	single_GRM	7055	0.297077	0.055816	5.3708e-09	32.702	-3472.173	-3488.524	0.293708	0.69495	0.988658	0.055924	0.055203	0.01674
C922	single_GRM	3642	0.102112	0.092141	0.12673	1.304	-1816.146	-1816.798	0.101708	0.894344	0.996053	0.091902	0.093335	0.023363
C923	single_GRM	4711	0.024334	0.065525	0.33574	0.18	-2391.422	-2391.512	0.024672	0.989242	1.013914	0.06645	0.06906	0.020898
C926	single_GRM	6699	0.00163	0.053054	0.48737	0.001	-3323.41	-3323.41	0.001615	0.989475	0.99109	0.052582	0.055095	0.017127
C932	single_GRM	6935	0.109437	0.055934	0.02183	4.07	-3437.937	-3439.972	0.108501	0.882942	0.991443	0.055577	0.056734	0.016858
C980	single_GRM	7055	1e-06	0.052554	0.5	0	-3561.278	-3561.278	1e-06	1.008127	1.008128	0.052981	0.05521	0.016978
C1001	single_GRM	7054	0.144063	0.053134	0.0010046	9.541	-3498.793	-3503.564	0.142983	0.849516	0.992498	0.052926	0.053864	0.01674
C1002	single_GRM	7053	0.048264	0.051701	0.15829	1.003	-3486.98	-3487.481	0.047687	0.940368	0.988055	0.051111	0.053075	0.016646
C1004	single_GRM	7053	0.163499	0.056118	0.0017533	8.523	-3516.022	-3520.284	0.163151	0.834718	0.997869	0.056246	0.056841	0.016841
C1021	single_GRM	7055	0.201974	0.056426	0.00015747	12.979	-3458.461	-3464.951	0.198388	0.783858	0.982246	0.055784	0.055975	0.016589
C1022	single_GRM	6728	0.204346	0.058308	0.00017173	12.817	-3342.876	-3349.285	0.203367	0.791841	0.995208	0.058397	0.058616	0.017208
C1023	single_GRM	7055	0.170907	0.055077	0.00055946	10.62	-3520.021	-3525.331	0.170713	0.828151	0.998864	0.055281	0.055855	0.016856
C1024	single_GRM	7055	0.182808	0.05536	0.00027416	11.944	-3540.255	-3546.227	0.183696	0.821164	1.004861	0.055933	0.056375	0.016962
C1025	single_GRM	7037	0.209233	0.055294	1.8666e-05	17.002	-3487.588	-3496.089	0.207785	0.785295	0.99308	0.055298	0.055476	0.016795
C1026	single_GRM	7054	0.065767	0.054811	0.11431	1.449	-3496.149	-3496.874	0.065153	0.925504	0.990656	0.054347	0.055981	0.016692
C1052	single_GRM	7052	0.158642	0.054653	0.0010209	9.512	-3486.178	-3490.933	0.156976	0.832525	0.989502	0.054309	0.055021	0.016697
C1053	single_GRM	6282	0.255165	0.062616	1.3713e-05	17.588	-3114.765	-3123.56	0.25371	0.740588	0.994298	0.062837	0.062462	0.017817
C1082	single_GRM	6671	0.438715	0.057756	1.1102e-16	67.89	-3311.033	-3344.978	0.439602	0.562419	1.002021	0.059459	0.057302	0.017531
C1083	single_GRM	7052	0.23161	0.055591	8.4053e-06	18.52	-3530.95	-3540.211	0.23249	0.771309	1.003799	0.056274	0.056213	0.016968
C1084	single_GRM	7055	0.174845	0.052236	2.9106e-05	16.16	-3487.706	-3495.786	0.173067	0.816767	0.989834	0.051974	0.052648	0.016702
C1087	single_GRM	7055	0.010639	0.053454	0.42203	0.039	-3570.716	-3570.735	0.010759	1.000489	1.011248	0.054058	0.056365	0.01703
C1090	single_GRM	7054	0.446791	0.057386	1.4433e-15	62.372	-3487.315	-3518.501	0.446253	0.552544	0.998797	0.058958	0.05665	0.017018
C1094	single_GRM	7054	0.336112	0.057061	3.6522e-10	37.938	-3512.869	-3531.838	0.336643	0.664937	1.00158	0.058107	0.056923	0.016986
C1102	single_GRM	7047	0.337529	0.056095	8.783e-11	40.72	-3527.319	-3547.679	0.339811	0.66695	1.00676	0.057437	0.056279	0.01708
C1104	single_GRM	6084	0.010906	0.059933	0.42765	0.033	-2997.368	-2997.384	0.010734	0.973491	0.984225	0.058991	0.061329	0.017848
C1105	single_GRM	7055	0.200138	0.056409	0.00016763	12.862	-3548.24	-3554.671	0.201645	0.805882	1.007527	0.057197	0.057413	0.017016
C1110	single_GRM	7055	0.157145	0.052873	0.0002661	11.999	-3471.776	-3477.776	0.154792	0.830234	0.985026	0.052303	0.053116	0.016616
C1111	single_GRM	6082	0.175308	0.062484	0.0015026	8.804	-2977.521	-2981.924	0.171856	0.808452	0.980308	0.061552	0.061983	0.017822
C1113	single_GRM	7036	0.281662	0.055549	1.615e-08	30.564	-3483.074	-3498.356	0.279931	0.713921	0.993852	0.055879	0.055331	0.016841
C1114	single_GRM	7055	0.393607	0.05728	1.342e-12	48.907	-3492.059	-3516.512	0.392712	0.605013	0.997726	0.058436	0.056669	0.016959
C1123	single_GRM	5065	0.09266	0.069367	0.074625	2.08	-2542.276	-2543.316	0.092953	0.910209	1.003162	0.069689	0.071162	0.019954
C1124	single_GRM	7055	0.115268	0.054367	0.013556	4.884	-3453.946	-3456.388	0.112889	0.866467	0.979356	0.053371	0.054518	0.01651
C1125	single_GRM	4530	0.098536	0.077808	0.093687	1.738	-2249.067	-2249.936	0.097742	0.894198	0.99194	0.07728	0.078794	0.020858
C1128	single_GRM	7055	0.218723	0.054155	1.5501e-06	21.754	-3500.778	-3511.654	0.217521	0.776981	0.994501	0.054272	0.054412	0.016799
C1134	single_GRM	7055	0.259058	0.055209	3.5857e-07	24.568	-3475.672	-3487.956	0.25608	0.732426	0.988507	0.055145	0.054831	0.016717
C1135	single_GRM	6043	0.077735	0.058635	0.069859	2.181	-3053.007	-3054.098	0.078507	0.931428	1.009936	0.059293	0.060921	0.01839
C1136	single_GRM	5396	0.09082	0.067462	0.084495	1.892	-2688.298	-2689.244	0.090427	0.905248	0.995675	0.06726	0.068738	0.019185
C1137	single_GRM	4909	0.099502	0.072368	0.071181	2.152	-2468.658	-2469.734	0.099995	0.904962	1.004958	0.072833	0.074296	0.020302
C1140	single_GRM	7054	0.212326	0.056094	5.1498e-05	15.081	-3560.169	-3567.71	0.214741	0.796631	1.011372	0.057137	0.057247	0.017086
C1141	single_GRM	5730	0.059688	0.062178	0.14911	1.082	-2898.533	-2899.074	0.060338	0.950552	1.01089	0.062904	0.064736	0.018899
C1143	single_GRM	6537	0.04817	0.057871	0.20405	0.684	-3303.861	-3304.203	0.048651	0.96133	1.009981	0.058479	0.060362	0.017674
C1161	single_GRM	1886	0.108332	0.128262	0.15234	1.054	-951.541	-952.068	0.109004	0.897199	1.006203	0.129217	0.131439	0.032791
C1162	single_GRM	7047	0.253613	0.055897	8.738e-07	22.854	-3477.624	-3489.051	0.251078	0.738928	0.990007	0.05589	0.055598	0.016751
C1215	single_GRM	5986	0.203321	0.062412	0.00013482	13.27	-3001.554	-3008.189	0.204131	0.799852	1.003983	0.063031	0.063355	0.018397
C1218	single_GRM	2805	1e-06	0.11324	0.5	0	-1401.638	-1401.638	1e-06	0.996812	0.996813	0.112879	0.11566	0.026623
C1221	single_GRM	7055	0.280742	0.055539	1.0161e-08	31.464	-3533.308	-3549.04	0.282267	0.723166	1.005433	0.056517	0.055962	0.017014
C1224	single_GRM	6933	0.268754	0.057991	1.7876e-06	21.48	-3507.796	-3518.536	0.272877	0.742467	1.015344	0.059517	0.059003	0.01733
C1230	single_GRM	2094	0.396205	0.144303	0.0019461	8.333	-1030.881	-1035.047	0.389496	0.59357	0.983066	0.143076	0.141969	0.030441
C1231	single_GRM	6985	0.084513	0.052956	0.040137	3.059	-3531.663	-3533.193	0.085427	0.925385	1.010812	0.053602	0.05521	0.017117
C1235	single_GRM	7038	0.111051	0.053423	0.013079	4.946	-3509.22	-3511.693	0.110734	0.886417	0.997152	0.053391	0.054655	0.016829
C1239	single_GRM	7055	0.13105	0.055962	0.0092972	5.539	-3506.127	-3508.896	0.13029	0.863913	0.994203	0.055802	0.056729	0.016766
C1242	single_GRM	7055	0.239757	0.054559	2.7497e-07	25.08	-3464.117	-3476.658	0.2361	0.74865	0.98475	0.054216	0.054126	0.016643
C1254	single_GRM	7055	0.018587	0.053905	0.367	0.115	-3475.821	-3475.878	0.018298	0.966147	0.984445	0.053073	0.055216	0.016579
C1256	single_GRM	7054	0.11258	0.05598	0.023155	3.97	-3479.137	-3481.122	0.111057	0.875415	0.986472	0.055347	0.056451	0.016632
C1258	single_GRM	4087	0.105856	0.085731	0.10403	1.585	-2042.829	-2043.621	0.1057	0.89283	0.99853	0.085725	0.08713	0.022107
C1268	single_GRM	7046	0.163668	0.052065	7.7392e-05	14.313	-3541.896	-3549.052	0.164685	0.841529	1.006214	0.05263	0.053443	0.016985
C1342	single_GRM	7048	0.260745	0.057105	2.507e-06	20.832	-3463.584	-3474	0.257127	0.728998	0.986125	0.056897	0.056477	0.01669
C1383	single_GRM	588	0.156626	0.334626	0.31356	0.236	-291.325	-291.443	0.154035	0.82942	0.983455	0.329854	0.329215	0.057551
C1442	single_GRM	6947	0.291294	0.055443	1.574e-10	39.581	-3443.149	-3462.939	0.289912	0.705342	0.995254	0.055893	0.055285	0.016974
C1487	single_GRM	780	0.011214	0.284482	0.48373	0.002	-390.382	-390.383	0.011145	0.982711	0.993856	0.28277	0.284041	0.050455
C1518	single_GRM	7055	0.287677	0.055947	1.8353e-08	30.316	-3514.334	-3529.492	0.28775	0.712502	1.000252	0.056668	0.056026	0.016932
C1526	single_GRM	7004	0.387752	0.056847	9.2754e-13	49.632	-3455.781	-3480.597	0.385542	0.608758	0.9943	0.057764	0.056098	0.016953
