CHEM_ID,BIOCHEMICAL_NAME,TYPE,COMMENTS,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,SMILES,COMP_ID_1,COMP_ID_2,LIB_ID_1,LIB_ID_2,LIB_ID_3,LIB_ID_4,LIB_ID_5,LIB_ID_6,LIB_ID_7,HMDB_ID
208,adenosine 5'-diphosphate (ADP),NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",3872,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3,3108,,209,,,,,,209,HMDB0001341
209,adenosine 5'-monophosphate (AMP),NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",4137,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,32342,32342,400,400,400,400,400,400,400,HMDB0000045
212,5-methylthioadenosine (MTA),NAMED,,Amino Acid,Polyamine Metabolism,556,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,1419,1419,400,400,400,400,400,400,400,HMDB0001173
213,N6-methyladenosine,NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",3887,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,37114,,400,,400,400,,400,,HMDB0004044
215,adenosine 5'-diphosphoribose (ADP-ribose),NAMED,,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4051,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O,558,,209,,209,209,,,209,HMDB0001178
229,arachidonate (20:4n6),NAMED,,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1573,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,1110,1110,209,209,209,209,209,209,209,HMDB0001043
231,arginine,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,N=C(N)NCCCC(N)C(O)=O,1638,1638,400,400,400,400,400,400,400,HMDB0000517
232,argininosuccinate,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,433,NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N,15497,,400,,,,,,,HMDB0000052
234,aspartate,NAMED,,Amino Acid,Alanine and Aspartate Metabolism,36,NC(C(O)=O)CC(O)=O,443,443,400,400,400,400,400,400,400,HMDB0000191
235,2-hydroxyphenylacetate,NAMED,,Amino Acid,Phenylalanine Metabolism,156,OC(CC1=C(O)C=CC=C1)=O,1432,1432,305,305,305,305,305,305,305,HMDB0000669
240,3-(4-hydroxyphenyl)lactate,NAMED,,Amino Acid,Tyrosine Metabolism,181,OC(C(O)=O)CC1=CC=C(O)C=C1,32197,32197,209,209,209,209,209,209,209,HMDB0000755
241,phenylpyruvate,NAMED,,Amino Acid,Phenylalanine Metabolism,150,O=C(C(O)=O)CC1=CC=CC=C1,566,566,209,209,209,209,209,209,209,HMDB0000205
244,beta-alanine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4237,NCCC(O)=O,55,55,400,400,400,400,400,400,400,HMDB0000056
250,biliverdin,NAMED,,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4408,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,2137,2137,209,402,402,402,402,402,209,HMDB0001008
252,succinate,NAMED,,Energy,TCA Cycle,1448,OC(CCC(O)=O)=O,1437,1437,305,305,305,305,305,305,305,HMDB0000254
254,3-hydroxybutyrate (BHBA),NAMED,,Lipid,Ketone Bodies,1938,CC(O)CC(O)=O,542,542,305,305,305,305,305,305,305,HMDB0000442;HMDB0000357;HMDB0000011
266,cholesterol,NAMED,,Lipid,Sterol,3191,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,63,63,402,402,402,402,402,402,402,HMDB0000067
267,choline phosphate,NAMED,,Lipid,Phospholipid Metabolism,2233,C[N+](C)(CCOP(O)([O-])=O)C,34396,34396,400,400,400,400,400,400,400,HMDB0001565
273,cortisone,NAMED,,Lipid,Corticosteroids,3314,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,1769,1769,209,209,209,209,209,209,209,HMDB0002802
275,creatinine,NAMED,,Amino Acid,Creatine Metabolism,529,CN(C(N1)=N)CC1=O,513,513,400,400,400,400,400,400,400,HMDB0000562
278,cysteinylglycine,NAMED,,Amino Acid,Glutathione Metabolism,576,NC(C(NCC(O)=O)=O)CS,35637,35637,400,400,400,400,400,400,400,HMDB0000078
279,cystine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",462,NC(C(O)=O)CSSCC(N)C(O)=O,56,56,400,400,400,400,400,400,400,HMDB0000192
297,sphingosine,NAMED,,Lipid,Sphingosines,3159,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,17747,17747,402,402,402,402,402,402,402,HMDB0000252
302,deoxycholate,NAMED,some missing values may not be LOD,Lipid,Secondary Bile Acid Metabolism,3477,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,1114,1114,209,209,209,209,209,209,209,HMDB0000626
310,cystathionine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",453,OC(C(CCSCC(N)C(O)=O)N)=O,15705,15705,400,400,400,400,400,400,400,HMDB0000099
313,sphinganine,NAMED,,Lipid,Sphingolipid Synthesis,3000,CCCCCCCCCCCCCCCC(C(CO)N)O,17769,17769,402,402,402,402,402,402,,HMDB0000269
327,flavin adenine dinucleotide (FAD),NAMED,,Cofactors and Vitamins,Riboflavin Metabolism,4330,OC(C(O)C(O)COP(OP(OC[C@H]1O[C@@H](N(C=N2)C3=C2C(N)=NC=N3)[C@H](O)[C@@H]1O)(O)=O)(O)=O)CN(C(C=C(C)C(C)=C4)=C4N=C5C(N6)=O)C5=NC6=O,2134,2134,,,209,209,209,,,HMDB0001248
330,fumarate,NAMED,,Energy,TCA Cycle,1449,OC(/C=C/C(O)=O)=O,1643,1643,305,305,305,305,305,305,305,HMDB0000134
331,gamma-glutamylglutamate,NAMED,,Peptide,Gamma-glutamyl Amino Acid,634,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,36738,36738,400,400,400,400,400,400,400,HMDB0011737
338,gluconate,NAMED,,Xenobiotics,Food Component/Plant,4802,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,587,587,305,305,305,305,305,305,305,HMDB0000625
339,glutarate (C5-DC),NAMED,,Lipid,"Fatty Acid, Dicarboxylate",1659,OC(CCCC(O)=O)=O,396,396,305,305,305,305,305,305,305,HMDB0000661
340,glycine,NAMED,,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,NCC(O)=O,58,58,400,400,400,400,400,400,400,HMDB0000123
342,glycocholate,NAMED,,Lipid,Primary Bile Acid Metabolism,3453,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,18476,18476,209,209,209,209,209,209,209,HMDB0000138
344,guanidinoacetate,NAMED,,Amino Acid,Creatine Metabolism,527,NC(NCC(O)=O)=N,43802,43802,305,305,305,305,305,305,305,HMDB0000128
354,histamine,NAMED,,Amino Acid,Histidine Metabolism,83,NCCC1=CNC=N1,1574,,,,400,,,,,HMDB0000870
355,histidine,NAMED,,Amino Acid,Histidine Metabolism,70,NC(C(O)=O)CC1=CN=CN1,59,59,209,209,209,209,209,209,209,HMDB0000177
356,cortisol,NAMED,,Lipid,Corticosteroids,3304,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,1712,1712,209,209,209,209,209,209,209,HMDB0000063
358,hypotaurine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",470,NCCS(O)=O,590,590,400,400,305,400,305,305,305,HMDB0000965
361,inosine,NAMED,,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4117,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,1123,1123,209,209,209,209,209,209,209,HMDB0000195
362,inosine 5'-monophosphate (IMP),NAMED,,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4116,OC1C(C(N2C=NC3=C2N=CNC3=O)OC1COP(O)(O)=O)O,2133,2133,400,400,400,400,400,400,400,HMDB0000175
363,myo-inositol,NAMED,,Lipid,Inositol Metabolism,2201,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,1124,1124,305,305,305,305,305,305,305,HMDB0000211
376,isoleucine,NAMED,,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",385,NC(C(O)=O)C(C)CC,1125,1125,400,400,400,400,400,400,400,HMDB0000172
381,2-aminoadipate,NAMED,,Amino Acid,Lysine Metabolism,123,OC(CCCC(N)C(O)=O)=O,6146,6146,305,305,305,305,305,305,,HMDB0000510
391,citrulline,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,492,NC(C(O)=O)CCCNC(N)=O,2132,2132,400,400,400,400,400,400,400,HMDB0000904
397,leucine,NAMED,,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",332,O=C([C@H](CC(C)C)N)O,60,60,400,400,400,400,400,400,400,HMDB0000687
399,leukotriene B4,NAMED,,Lipid,Eicosanoid,2074,CCCCC/C=C/CC(/C=C/C=C/C=C/C(CCCC(O)=O)O)O,37530,37530,209,,,,209,,,HMDB0001085
405,lithocholate,NAMED,,Lipid,Secondary Bile Acid Metabolism,3492,O=C(CCC(C(CCC1C2CCC3CC4O)C1(CCC2C3(CC4)C)C)C)O,1483,1483,209,,209,209,209,209,209,HMDB0000761
407,lysine,NAMED,,Amino Acid,Lysine Metabolism,105,NC(C(O)=O)CCCCN,1301,1301,400,400,400,400,400,400,400,HMDB0003405
409,malate,NAMED,,Energy,TCA Cycle,1451,OC(C(O)=O)CC(O)=O,1303,1303,209,209,209,209,209,209,209,HMDB0031518;HMDB0000156;HMDB0000744
415,methionine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",434,CSCCC(N)C(O)=O,1302,1302,209,209,209,209,209,209,209,HMDB0000696
418,methylmalonate (MMA),NAMED,,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),1774,O=C(C(C(O)=O)C)O,1496,1496,305,305,305,305,305,305,,HMDB0000202
424,palmitate (16:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1510,OC(CCCCCCCCCCCCCCC)=O,1336,1336,209,209,209,209,209,209,209,HMDB0000220
432,nicotinamide,NAMED,,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4302,NC(C1=CN=CC=C1)=O,594,594,400,400,400,400,400,400,400,HMDB0001406
439,stearate (18:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1514,CCCCCCCCCCCCCCCCCC(O)=O,1358,1358,209,209,209,209,209,209,209,HMDB0000827
444,ornithine,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,487,O=C(O)[C@@H](N)CCCN,1493,1493,400,400,400,400,400,400,400,HMDB0000214
445,orotate,NAMED,,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4205,O=C(C1=CC(O)=NC(O)=N1)O,1505,1505,305,305,305,305,305,305,305,HMDB0000226
452,palmitoleate (16:1n7),NAMED,,Lipid,Long Chain Monounsaturated Fatty Acid,1529,CCCCCC\C=C/CCCCCCCC(O)=O,33447,33447,209,209,209,209,209,209,209,HMDB0003229
460,phenylalanine,NAMED,,Amino Acid,Phenylalanine Metabolism,140,NC(C(O)=O)CC1=CC=CC=C1,64,64,400,400,400,400,400,400,400,HMDB0000159
461,phosphate,NAMED,,Energy,Oxidative Phosphorylation,1468,O=P(O)(O)O,42109,42109,400,400,400,400,400,400,400,HMDB0001429
466,phytanate,NAMED,,Xenobiotics,Food Component/Plant,4996,CC(CCCC(CCCC(CCCC(C)C)C)C)CC(O)=O,598,598,209,209,209,209,209,209,209,HMDB0000801
477,pristanate,NAMED,,Lipid,"Fatty Acid, Branched",1652,CC(C)CCCC(C)CCCC(C)CCCC(C)C(O)=O,38271,38271,209,209,209,209,209,209,209,HMDB0000795
480,proline,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,495,OC(C1CCCN1)=O,1898,1898,400,400,400,400,400,400,400,HMDB0000162;HMDB0003411
482,lactate,NAMED,,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1240,CC(O)C(O)=O,527,527,305,305,305,305,305,305,305,HMDB0000190
498,retinol (Vitamin A),NAMED,,Cofactors and Vitamins,Vitamin A Metabolism,4426,C/C(/C=C/C(C(C)(CCC1)C)=C1C)=C\C=C\C(C)=C\CO,1806,1806,402,402,402,402,402,402,402,HMDB0000305
501,salicylate,NAMED,,Xenobiotics,Drug - Topical Agents,5956,OC1=C(C(O)=O)C=CC=C1,1515,1515,209,305,305,305,305,305,305,HMDB0001895
503,serine,NAMED,,Amino Acid,"Glycine, Serine and Threonine Metabolism",10,OC([C@@H](N)CO)=O,1648,1648,400,400,400,400,400,400,400,HMDB0000187
504,serotonin,NAMED,,Amino Acid,Tryptophan Metabolism,287,NCCC1=CNC(C=C2)=C1C=C2O,2342,2342,400,400,400,400,400,400,400,HMDB0000259
512,taurine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",471,NCCS(=O)(O)=O,2125,2125,400,400,400,400,400,400,400,HMDB0000251
519,myristate (14:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1507,OC(CCCCCCCCCCCCC)=O,1365,1365,209,209,209,209,209,209,209,HMDB0000806
533,urea,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,485,O=C(N)N,1670,1670,400,400,400,400,400,400,400,HMDB0000294
535,uridine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4217,OC1C(N(C=CC2=O)C(N2)=O)OC(CO)C1O,606,606,209,209,209,209,209,209,209,HMDB0000296
536,2'-deoxyuridine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4233,O=C(NC1=O)N(C=C1)C(CC2O)OC2CO,1412,1412,209,209,209,209,209,209,209,HMDB0000012
537,trans-urocanate,NAMED,,Amino Acid,Histidine Metabolism,78,O=C(O)/C=C/C1=CNC=N1,607,607,400,400,400,400,400,400,400,HMDB0000301
561,glutamate,NAMED,,Amino Acid,Glutamate Metabolism,44,O=C(O)[C@@H](N)CCC(O)=O,57,57,400,400,400,400,400,400,400,HMDB0000148
563,glutamine,NAMED,,Amino Acid,Glutamate Metabolism,45,OC([C@@H](N)CCC(N)=O)=O,53,53,400,400,400,400,400,400,400,HMDB0000641
564,threonine,NAMED,,Amino Acid,"Glycine, Serine and Threonine Metabolism",17,N[C@H](C(O)=O)[C@H](O)C,1284,1284,400,400,400,400,400,400,400,HMDB0000167
565,tryptophan,NAMED,,Amino Acid,Tryptophan Metabolism,254,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2,54,54,400,400,400,400,400,400,400,HMDB0000929
566,valine,NAMED,,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",416,N[C@H](C(O)=O)C(C)C,1649,1649,305,209,305,209,209,209,209,HMDB0000883
572,glucose,NAMED,,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1223,O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,48152,48152,305,305,305,305,305,305,305,HMDB0000122
796,alpha-ketobutyrate,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",454,OC(C(CC)=O)=O,4968,4968,305,305,305,305,305,305,305,HMDB0000005
798,adenosine,NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",3880,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3,555,,400,,,,,,,HMDB0000050
799,betaine,NAMED,,Amino Acid,"Glycine, Serine and Threonine Metabolism",7,O=C(C[N+](C)(C)C)[O-],3141,3141,400,400,400,400,400,400,400,HMDB0000043
800,cysteine,NAMED,,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",455,SC[C@H](N)C(O)=O,1868,1868,400,400,400,400,400,400,400,HMDB0000574
803,mannose,NAMED,,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1352,O[C@@H]1C(CO)O[C@@H](O)[C@@H](O)[C@H]1O,48153,48153,305,305,305,305,305,305,305,HMDB0000169
806,dimethylglycine,NAMED,,Amino Acid,"Glycine, Serine and Threonine Metabolism",6,CN(C)CC(O)=O,5086,5086,400,400,400,400,400,400,400,HMDB0000092
811,alanine,NAMED,,Amino Acid,Alanine and Aspartate Metabolism,29,O=C(O)[C@@H](N)C,1126,1126,400,400,400,400,400,400,400,HMDB0000161
815,tyrosine,NAMED,,Amino Acid,Tyrosine Metabolism,162,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1299,1299,400,400,400,400,400,400,400,HMDB0000158
821,pseudouridine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4219,O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(C2=CNC(NC2=O)=O)[H],33442,33442,305,305,305,305,305,305,305,HMDB0000767
823,pyruvate,NAMED,,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1239,CC(C(O)=O)=O,48990,48990,305,305,305,305,305,305,305,HMDB0000243
825,uracil,NAMED,,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4218,O=C(NC=C1)NC1=O,605,605,305,305,305,305,305,305,305,HMDB0000300
826,xylose,NAMED,,Carbohydrate,Pentose Metabolism,1267,O=C[C@@H]([C@H]([C@@H](CO)O)O)O,15581,15581,305,305,305,305,305,305,,HMDB0000098
827,cytidine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4249,OC[C@@H]1[C@H]([C@H]([C@H](N2C(N=C(C=C2)N)=O)O1)O)O,514,514,209,209,400,209,400,400,209,HMDB0000089
828,arabinose,NAMED,,Carbohydrate,Pentose Metabolism,1269,O[C@@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O,575,575,305,305,305,305,305,305,,HMDB0029942
848,cotinine,NAMED,,Xenobiotics,Tobacco Metabolite,4607,O=C1CC[C@@H]([C@]2=CN=CC=C2)N1C,553,553,400,400,400,400,400,400,400,HMDB0001046
849,caffeine,NAMED,,Xenobiotics,Xanthine Metabolism,4587,O=C(N(C)C1=C2N(C)C=N1)N(C)C2=O,569,569,400,400,400,400,400,400,400,HMDB0001847
878,fructose,NAMED,,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1346,OC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O,48195,48195,305,305,305,305,305,305,305,HMDB0000660
880,adenine,NAMED,,Nucleotide,"Purine Metabolism, Adenine containing",4145,NC1=NC=NC2=C1N=CN2,554,554,400,400,400,400,400,400,400,HMDB0000034
882,thymine,NAMED,,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4275,O=C1C(C)=CNC(N1)=O,604,604,209,209,209,209,209,209,,HMDB0000262
888,caprate (10:0),NAMED,,Lipid,Medium Chain Fatty Acid,1494,CCCCCCCCCC(O)=O,1642,1642,209,209,209,209,209,209,209,HMDB0000511
891,margarate (17:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1512,O=C(O)CCCCCCCCCCCCCCCC,1121,1121,209,209,209,209,209,209,209,HMDB0002259
892,nonadecanoate (19:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1516,CCCCCCCCCCCCCCCCCCC(O)=O,1356,1356,209,209,209,209,209,209,209,HMDB0000772
893,arachidate (20:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1517,CCCCCCCCCCCCCCCCCCCC(O)=O,1118,1118,209,209,209,209,209,209,209,HMDB0002212
913,maltose,NAMED,,Carbohydrate,Glycogen Metabolism,1299,O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H](O[C@@H]2CO)O)O)O)O,15586,15586,305,305,305,305,305,305,305,HMDB0000163
917,asparagine,NAMED,,Amino Acid,Alanine and Aspartate Metabolism,40,NC(C[C@H](N)C(O)=O)=O,512,512,400,400,400,400,400,400,400,HMDB0000168
922,N-stearoyl-sphinganine (d18:0/18:0)*,NAMED,,Lipid,Dihydroceramides,3012,CCCCCCCCCCCCCCCCCC(N[C@H]([C@H](O)CCCCCCCCCCCCCCC)CO)=O,1759,1759,,,402,402,402,402,,HMDB0011761
923,dihydroorotate,NAMED,,Nucleotide,"Pyrimidine Metabolism, Orotate containing",4204,O=C(C(NC1=O)CC(N1)=O)O,601,601,305,305,305,305,305,305,305,HMDB03349
926,caproate (6:0),NAMED,,Lipid,Medium Chain Fatty Acid,1489,CCCCCC(O)=O,32489,32489,209,209,209,209,209,209,209,HMDB0000535
932,caprylate (8:0),NAMED,,Lipid,Medium Chain Fatty Acid,1491,CCCCCCCC(O)=O,32492,32492,209,209,209,209,209,209,209,HMDB0000482
980,pentadecanoate (15:0),NAMED,,Lipid,Long Chain Saturated Fatty Acid,1509,O=C(O)CCCCCCCCCCCCCC,1361,1361,209,209,209,209,209,209,209,HMDB0000826
1001,trans-4-hydroxyproline,NAMED,,Amino Acid,Urea cycle; Arginine and Proline Metabolism,513,O[C@@H]1C[C@@H](C(O)=O)NC1,32306,32306,400,400,400,400,400,400,400,HMDB0000725
1002,allantoin,NAMED,,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4131,O=C(N1)C(NC(N)=O)NC1=O,1107,1107,305,305,305,305,305,305,305,HMDB0000462
1004,xanthine,NAMED,,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4119,O=C(N1)C(N=CN2)=C2NC1=O,3147,3147,305,305,305,305,305,305,305,HMDB0000292
